"id","id_raw","isbn","isbn_raw","book_title","book_title_raw","book_author","book_author_raw","year_of_publication","year_of_publication_raw","publisher","publisher_raw","image_url_s","image_url_s_raw","image_url_m","image_url_m_raw","image_url_l","image_url_l_raw","pais_raw","pais","cidades","cidades_raw","livros___cidades_id","livros___cidades___params","local_da_publicacao_raw","local_da_publicacao"
"1","1","0195153448","0195153448","Classical Mythology","Classical Mythology","Mark P. O. Morford","Mark P. O. Morford","2002","2002","Oxford University Press","Oxford University Press","http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg","6","<a href=""/joomla395/administrator/index.php?option=com_fabrik&amp;task=details.view&amp;formid=1&amp;listid=1&amp;rowid=6"">Albania</a>","<a href=""/joomla395/administrator/index.php?option=com_fabrik&amp;task=details.view&amp;formid=2&amp;listid=2&amp;rowid=5427"">Abreulândia</a> <a href=""/joomla395/administrator/index.php?option=com_fabrik&amp;task=details.view&amp;formid=2&amp;listid=2&amp;rowid=1349"">Acaiaca</a> <a href=""/joomla395/administrator/index.php?option=com_fabrik&amp;task=details.view&amp;formid=2&amp;listid=2&amp;rowid=1129"">Açailândia</a>","[""5427"",""1349"",""1129""]","884","Abadiânia"
"2","2","0002005018","0002005018","Clara Callan","Clara Callan","Richard Bruce Wright","Richard Bruce Wright","2001","2001","HarperFlamingo Canada","HarperFlamingo Canada","http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg","","","","[]","",""
"3","3","0060973129","0060973129","Decision in Normandy","Decision in Normandy","Carlo D'Este","Carlo D'Este","1991","1991","HarperPerennial","HarperPerennial","http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg","","","","[]","",""
"4","4","0374157065","0374157065","Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Gina Bari Kolata","Gina Bari Kolata","1999","1999","Farrar Straus Giroux","Farrar Straus Giroux","http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg","","","","[]","",""
"5","5","0393045218","0393045218","The Mummies of Urumchi","The Mummies of Urumchi","E. J. W. Barber","E. J. W. Barber","1999","1999","W. W. Norton &amp","W. W. Norton &amp","Company","Company","http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg","","","","[]","",""
"6","6","0399135782","0399135782","The Kitchen God's Wife","The Kitchen God's Wife","Amy Tan","Amy Tan","1991","1991","Putnam Pub Group","Putnam Pub Group","http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg","","","","[]","",""
"7","7","0425176428","0425176428","What If?: The World's Foremost Military Historians Imagine What Might Have Been","What If?: The World's Foremost Military Historians Imagine What Might Have Been","Robert Cowley","Robert Cowley","2000","2000","Berkley Publishing Group","Berkley Publishing Group","http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg","","","","[]","",""
"8","8","0671870432","0671870432","PLEADING GUILTY","PLEADING GUILTY","Scott Turow","Scott Turow","1993","1993","Audioworks","Audioworks","http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg","","","","[]","",""
"9","9","0679425608","0679425608","Under the Black Flag: The Romance and the Reality of Life Among the Pirates","Under the Black Flag: The Romance and the Reality of Life Among the Pirates","David Cordingly","David Cordingly","1996","1996","Random House","Random House","http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg","","","","[]","",""
"10","10","074322678X","074322678X","Where You'll Find Me: And Other Stories","Where You'll Find Me: And Other Stories","Ann Beattie","Ann Beattie","2002","2002","Scribner","Scribner","http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg","","","","[]","",""
"11","11","0771074670","0771074670","Nights Below Station Street","Nights Below Station Street","David Adams Richards","David Adams Richards","1988","1988","Emblem Editions","Emblem Editions","http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg","http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg","http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg","http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg","","","","[]","",""
